epochs,maximum,average
1,428.2,114.23199951171875
2,1209.0,238.68800109863278
3,1763.8,544.7399985351562
4,2144.0,667.5960043945313
5,2962.8,784.5359946289062
6,2227.2,721.819994140625
7,2592.4,729.1799995117187
8,3041.8,949.6680024414063
9,3180.4,917.7520058593751
10,4167.4,990.58800390625
11,3837.6,1050.9600034179687
12,3746.0,997.6839941406249
13,3884.8,896.2999956054688
14,3318.2,881.7799941406249
15,2919.0,871.7640053710938
16,3067.2,955.8280039062499
17,3677.0,982.5999985351561
18,3436.8,804.9160039062501
19,2884.4,818.0079975585938
20,2737.6,677.7480029296873
21,2952.0,786.9799941406251
22,3875.0,769.8399941406251
23,2825.2,727.7319970703126
24,2993.0,703.7320048828125
25,2804.8,768.0559975585936
26,2124.6,662.6960053710937
27,3373.0,721.7439965820313
28,2757.8,788.5839970703125
29,3265.8,804.1439970703126
30,3568.0,750.21600390625
31,3039.8,699.9160019531249
32,2842.8,738.2360009765625
33,3510.2,848.8520053710938
34,5370.2,777.7839941406249
35,4049.2,848.819998046875
36,3559.4,801.0119951171874
37,3124.6,743.3119946289063
38,2911.6,791.0040004882811
39,4391.4,850.0320009765625
40,3551.4,807.2519985351562
41,3036.4,721.9639999999999
42,2903.0,808.0560043945313
43,4184.4,759.2040087890625
44,3809.8,819.5800034179687
45,3422.8,908.9760087890625
46,3267.8,772.8960078125
47,3521.6,896.3359902343751
48,4581.6,947.9079960937501
49,3515.6,956.32001171875
50,3017.4,778.2719931640625
