epochs,average,maximum
1,106.86,476
2,260.3,1008
3,531.04,1634
4,763.46,2532
5,554.42,2474
6,646.46,1883
7,803.08,3647
8,788.74,2545
9,655.52,1932
10,885.14,3052
11,1238.82,4663
12,998.42,4003
13,786.4,2644
14,891.16,3182
15,730.58,2645
16,806.06,2489
17,982.88,5589
18,802.26,3440
19,736.74,3150
20,732.66,4051
21,785.02,2469
22,575.4,2273
23,565.78,2979
24,673.02,1961
25,718.66,3096
26,667.3,1736
27,548.7,3633
28,542.82,1921
29,797.84,2621
30,692.94,3711
31,948.06,3210
32,699.08,2078
33,837.42,4253
34,755.74,4071
35,897.26,2772
36,980.08,3892
37,779.72,4138
38,580.04,2397
39,665.04,3265
40,600.02,2446
41,620.5,3521
42,653.42,2803
43,601.22,2914
44,731.48,3237
45,698.94,2946
46,543.64,1700
47,665.52,2105
48,947.4,6580
49,727.14,2577
50,701.26,3434
